FormattedTitle;primary_code;index_entry;parsedCodes;tags;priority;id;charCount
Influenza A/H1N1;"J09; U69.20!";A/H1N1;"[""J09"";""U69.20""]";"[""grippe""]";0;0;16
"Influenza A/H1N1; pandémie de 2009 [grippe porcine]";U69.20!;A/H1N1;"[""U69.20""]";"[""grippe""]";0;1;51
Influenza A/H5N1;"J09; U69.21!";A/H5N1;"[""J09"";""U69.21""]";"[""grippe""]";0;2;16
"Influenza A/H5N1; épidémie de 2009 [grippe aviaire]";U69.21!;A/H5N1;"[""U69.21""]";"[""grippe""]";0;3;51
A01 [Albinisme oculaire type 1];E70.3;A01;"[""E70.3""]";[];0;4;31
Syndrome d’Aagenaes;K71.0;Aagenaes;"[""K71.0""]";[];0;5;19
Syndrome d’Aarskog-Scott;Q87.1;Aarskog-Scott;"[""Q87.1""]";[];0;6;24
Syndrome d’Aase-Smith type II;D61.0;Aase-Smith;"[""D61.0""]";[];0;7;29
"Syndrome d’Aase-Smith; type 1";Q87.8;Aase-Smith;"[""Q87.8""]";[];0;8;29
Conjonctivite Abactérienne;H10.8;Abactérien;"[""H10.8""]";[];1;9;26
Délaissement et Abandon;T74.0;Abandon;"[""T74.0""]";[];0;10;23
Maladie due au VIH avec Abattement;"B23.8; R53";Abattement;"[""B23.8"";""R53""]";"[""SIDA""]";0;11;34
Pneumopathie interstitielle par déficit en ABCA3;J84.8;ABCA3;"[""J84.8""]";[];0;12;48
Cholélithiase par mutation du gène ABCB4;K80.80;ABCB4;"[""K80.80""]";[];0;13;40
Abcès amibien du foie;"A06.4†; K77.0*";Abcès;"[""A06.4"";""K77.0""]";"[""Amibiase""]";1;14;21
Abcès amibien du poumon avec pneumonie;"A06.5†; J17.3*";Abcès;"[""A06.5"";""J17.3""]";"[""Amibiase""]";0;15;38
Abcès amibien du foie et du poumon;"A06.5†; J99.8*";Abcès;"[""A06.5"";""J99.8""]";"[""Amibiase""]";0;16;34
Abcès amibien du cerveau (et du foie) (et du poumon);A06.6†;Abcès;"[""A06.6""]";"[""Amibiase""]";0;17;52
Abcès amibien du cerveau;"A06.6†; G07*";Abcès;"[""A06.6"";""G07""]";"[""Amibiase""]";0;18;24
Abcès de la rate dû à des amibes;"A06.8†; D77*";Abcès;"[""A06.8"";""D77""]";"[""Amibiase""]";0;19;32
Abcès méningé tuberculeux;"A17.0†; G01*";Abcès;"[""A17.0"";""G01""]";"[""TBK"";""tuberculose secondaire""]";0;20;25
Abcès épidural tuberculeux;"A17.8†; G07*";Abcès;"[""A17.8"";""G07""]";"[""TBK"";""tuberculose secondaire""]";0;21;26
Abcès tuberculeux de la hanche;"A18.0†; M01.15*";Abcès;"[""A18.0"";""M01.15""]";"[""TBK"";""tuberculose secondaire""]";0;22;30
Abcès tuberculeux du genou;"A18.0†; M01.16*";Abcès;"[""A18.0"";""M01.16""]";"[""TBK"";""tuberculose secondaire""]";0;23;26
Abcès articulaire tuberculeux;"A18.0†; M01.19*";Abcès;"[""A18.0"";""M01.19""]";"[""TBK"";""tuberculose secondaire""]";0;24;29
Abcès lombaire tuberculeux;"A18.0†; M49.06*";Abcès;"[""A18.0"";""M49.06""]";"[""TBK"";""tuberculose secondaire""]";0;25;26
